Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR3954120,2017-08-31 16:15:17,2016-07-26 15:28:02,12848809,1915042121,12848809,149,725,,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/003861/SRR3954120,SRX1978369,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP079916,PRJNA335391,,335391,SRS1585923,SAMN05441378,simple,9606,Homo sapiens,GSM2252675,,,,,,,no,,,,,GEO,SRA444669,,public,68871F2463B1647170CDC218CC1412E0,363FC71A2061A46FAAB5BE5008E326D2
SRR4059224,2016-10-06 16:17:16,2016-08-24 18:47:04,404376,18601296,0,46,19,,https://sra-download.ncbi.nlm.nih.gov/traces/sra43/SRR/003964/SRR4059224,SRX2048591,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP067844,PRJNA307121,2,307121,SRS1641090,SAMN05564542,simple,9606,Homo sapiens,GSM2272363,,,,,,,no,,,,,GEO,SRA323017,,public,536A671CBDC8B268818AEB85F61C10FC,52DAFB1E07C650E295575714A93E91D8
SRR955001,2015-07-22 17:03:52,2015-08-12 21:41:15,27425706,987325416,0,36,592,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000932/SRR955001,SRX337563,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP028963,PRJNA215929,,215929,SRS472011,SAMN02324216,simple,9606,Homo sapiens,GSM1213448,,,,,,,no,,,,,GEO,SRA098358,,public,1ECAC312090755A5D0506A14AB43B2A9,0C69D0922B6C63C317F67CA9348B14A6
SRR5290031,2017-05-15 17:09:36,2017-02-27 11:50:10,1979914,100975614,0,51,37,,https://sra-download.ncbi.nlm.nih.gov/traces/sra46/SRR/005166/SRR5290031,SRX2592754,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP067759,PRJNA306878,2,306878,SRS2014001,SAMN06465219,simple,9606,Homo sapiens,GSM2508463,,,,,,,no,,,,,GEO,SRA322626,,public,19DC34AA4DFE2C7C49DA15CF0073E990,DFD3FA5FDDD08E541B009F45313CA12C
SRR3225278,2017-05-26 10:16:14,2016-03-14 17:33:16,37901343,7504465914,37901343,198,4741,,https://sra-download.ncbi.nlm.nih.gov/traces/sra38/SRR/003149/SRR3225278,SRX1631463,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071758,PRJNA315161,2,315161,SRS1345649,SAMN04556997,simple,9606,Homo sapiens,GSM2088025,,,,,,,no,,,,,GEO,SRA385334,,public,98B0DD6484BD7410019B461535C01081,2EFD461D2961BAC08927B156048061DC
SRR4249570,2016-09-30 15:56:21,2016-09-15 19:37:18,846796,60969312,846796,72,40,,https://sra-download.ncbi.nlm.nih.gov/traces/sra43/SRR/004149/SRR4249570,SRX2169616,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP090072,PRJNA343284,,343284,SRS1697513,SAMN05778691,simple,9606,Homo sapiens,GSM2314416,,,,,,,no,,,,,GEO,SRA472324,,public,E84DB89F45453608BE1270027D4045B8,9635BE9DD8E6D6330F5E0D002BD73C79
SRR1576505,2015-07-16 16:20:13,2014-09-16 20:32:50,37618959,5718081768,37618959,152,3956,,https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001539/SRR1576505,SRX702205,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047194,PRJNA261255,2,261255,SRS702069,SAMN03070034,simple,9606,Homo sapiens,GSM1505855,,,,,,,no,,,,,GEO,SRA184808,,public,DDD0CDA657CD5BFFD019DECB929956B1,2BEEA4427D528FB7DD6474187AE0D19D
ERR1751087,2017-06-01 16:37:29,2017-06-01 17:33:59,2702122,675530500,2702122,250,313,,https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR1751/ERR1751087,ERX1819348,do8260_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,295,25,ILLUMINA,Illumina HiSeq 2500,ERP020478,PRJEB18540,,388773,ERS1470156,SAMEA24031168,simple,9606,Homo sapiens,E-MTAB-5308:do8260,,,,,,,no,,,,,Lovorka Stojic,ERA775021,,public,D53DFEE38891AE977F1A6A2837590ABC,3B54D04471F8C658B2C578856F38CF2E
DRR024903,2015-03-11 16:39:48,2015-03-11 17:21:55,4235801,847160200,4235801,200,549,,https://sra-download.ncbi.nlm.nih.gov/traces/dra2/DRR/000024/DRR024903,DRX022564,LC2ad_SingleCell_RNAseq rep101,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,360,0,ILLUMINA,Illumina HiSeq 2500,DRP002586,PRJDB2345,,278130,DRS019265,SAMD00022972,simple,9606,Homo sapiens,DRS019265,,,,,,,no,,,,,UT-MGS,DRA002730,,public,3083E0F48A90FED2B76F0213835BE7FC,2DEAF528B9B07E0E82ECD141B8232727
SRR3602712,2017-05-30 00:00:46,2016-05-30 18:09:15,38382221,1957493271,0,51,1281,,https://sra-download.ncbi.nlm.nih.gov/traces/sra40/SRR/003518/SRR3602712,SRX1806487,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076250,PRJNA324737,,324737,SRS1471513,SAMN05185365,simple,9606,Homo sapiens,SKOV3_shcontrol(2),,,,,female,,no,,,,,"TONGJI HOSPITAL, TONGJI MEDICAL COLLEGE, HUAZHONG ",SRA429682,,public,974D52DEA34174D547B910D3AF6B3965,5A20792F8B2E038384FB103F8DAA4A90
SRR5175145,2017-03-12 12:13:11,2017-01-13 12:22:52,2705273,270527300,2705273,100,117,,https://sra-download.ncbi.nlm.nih.gov/traces/sra45/SRR/005053/SRR5175145,SRX2491408,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP096727,PRJNA361254,2,361254,SRS1921338,SAMN06229073,simple,9606,Homo sapiens,GSM2456956,,,,,,,no,,,,,GEO,SRA527201,,public,4AE89D3AED1A9CEF032699B0AFD65FB2,408BD9EEFDD0657F3B4B93CECC81995E
SRR5067905,2017-06-20 16:29:37,2016-12-02 01:02:24,8408339,420416950,0,50,146,,https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004949/SRR5067905,SRX2388126,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP094414,PRJNA355638,,355638,SRS1830027,SAMN06092878,simple,9606,Homo sapiens,GSM2411331,,,,,,,no,,,,,GEO,SRA500332,,public,033D6CEED1CD24B830B641996233F2DE,EB3854D7136B9811983ADEC7678EF97D
SRR3126852,2016-07-08 16:13:15,2016-01-28 00:39:50,1220304,122030400,0,100,54,,https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/003053/SRR3126852,SRX1548604,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP068957,PRJNA309972,2,309972,SRS1265929,SAMN04442771,simple,9606,Homo sapiens,GSM2047490,,,,,,,no,,,,,GEO,SRA342032,,public,FF6E93C3DFD2CE4ACF01F31B622CA9A5,15F1259369EFF26FE7D70AB75191E755
SRR4058005,2016-10-06 16:17:16,2016-08-24 18:31:41,395128,18175888,0,46,18,,https://sra-download.ncbi.nlm.nih.gov/traces/sra43/SRR/003962/SRR4058005,SRX2047372,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP067844,PRJNA307121,2,307121,SRS1639871,SAMN05563516,simple,9606,Homo sapiens,GSM2271138,,,,,,,no,,,,,GEO,SRA323017,,public,239083EB9D851D2C72E4D5379E47DC8D,75034901F461DEC8C919EB296DE427D6
SRR915732,2013-06-23 15:35:40,2013-06-20 14:43:34,145225992,7406525592,0,51,5067,,https://sra-download.ncbi.nlm.nih.gov/traces/sra11/SRR/000894/SRR915732,SRX312097,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026204,PRJNA209071,,209071,SRS449693,SAMN02209909,simple,9606,Homo sapiens,GSM1171525,,,,,,,no,,,,,GEO,SRA091403,,public,4DDD27483C7A980FD0C735575E6CE01A,385320B5BD6B68CCB1F2AFAA8480E1B3
SRR4435334,2016-10-23 11:40:36,2016-10-20 11:23:01,10508965,525448250,0,50,295,,https://sra-download.ncbi.nlm.nih.gov/traces/sra6/SRR/004331/SRR4435334,SRX2254582,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP091854,PRJNA343235,,343235,SRS1754217,SAMN05784426,simple,9606,Homo sapiens,GSM2309473,,,,,,,no,,,,,GEO,SRA486057,,public,5E042FF412B278FEF12F8B2DDB1EDC71,2B4962254F9ABB7DC0840A6DBE5CA057
ERR863720,2015-04-24 07:03:38,2015-04-24 07:31:47,27298204,5514237208,27298204,202,3735,,https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR863/ERR863720,ERX943364,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP010142,PRJEB9083,,281804,ERS701705,SAMEA3340212,simple,9606,Homo sapiens,LRM_BreastCancer_Tumor_RNASeq11,,,,,,,no,,,,,JIHYUN_LEE,ERA432589,,public,AD5D4029D88DB402FA5C5B350D2AA452,636793EC4371202E44917FDA9AEEF227
SRR3126880,2016-07-08 16:13:15,2016-01-28 00:39:47,2385715,238571500,0,100,105,,https://sra-download.ncbi.nlm.nih.gov/traces/sra38/SRR/003053/SRR3126880,SRX1548613,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP068957,PRJNA309972,2,309972,SRS1265921,SAMN04442780,simple,9606,Homo sapiens,GSM2047499,,,,,,,no,,,,,GEO,SRA342032,,public,D3561674BFFD8095504886B7DD40EC0D,3FC28A341A574C89443BD8C7FDC85560
ERR1354952,2016-04-13 04:43:32,2016-04-14 08:37:55,13372039,2005805850,13372039,150,311,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/era15/ERR/ERR1354/ERR1354952,ERX1426427,15204725,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP012646,PRJEB11282,,318359,ERS934819,SAMEA3627670,simple,9606,Homo sapiens,FLT3_IM_RNASeq6219310-sc-2424409,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA601935,,public,5982649D06F06BBE7F58DA893500E17A,520D38BBBF5BCC25911DD1154EF4822A
ERR863753,2015-04-24 07:03:48,2015-04-24 07:45:42,27089124,5472003048,27089124,202,3398,,https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR863/ERR863753,ERX943397,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP010142,PRJEB9083,,281804,ERS701748,SAMEA3340255,simple,9606,Homo sapiens,LRM_BreastCancer_Tumor_RNASeq54,,,,,,,no,,,,,JIHYUN_LEE,ERA432599,,public,1CA291AA6C1F7D43944FC3291C986117,8070F0AB56CC60C5020B99A8D5B81372
SRR4454409,2016-11-15 15:36:16,2016-10-27 07:54:44,864667,86466700,864667,100,55,,https://sra-download.ncbi.nlm.nih.gov/traces/sra16/SRR/004350/SRR4454409,SRX2271065,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP092158,PRJNA350777,2,350777,SRS1762168,SAMN05945989,simple,9606,Homo sapiens,GSM2361382,,,,,,,no,,,,,GEO,SRA487172,,public,FC0B8D4194F466B64C6160757858C897,58203ABCBD9650DB5F237E3874E1C045
SRR2964245,2017-01-19 16:24:32,2015-11-30 12:59:37,2455790,491158000,2455790,200,295,,https://sra-download.ncbi.nlm.nih.gov/traces/sra36/SRR/002894/SRR2964245,SRX1454421,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066781,PRJNA304408,2,304408,SRS1182149,SAMN04300200,simple,9606,Homo sapiens,GSM1956213,,,,,,,no,,,,,GEO,SRA314130,,public,504807FD287ECD033CC76FFB7883F1E3,77857A24A3883688AB3A2EB626B0F04B
SRR330863,2011-08-31 09:15:04,2014-05-31 01:22:59,10890612,392062032,0,36,276,,https://sra-download.ncbi.nlm.nih.gov/traces/sra2/SRR/000323/SRR330863,SRX091701,GSM768947: Skin psoriasis involved 7,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP007825,PRJNA144911,2,144911,SRS257282,SAMN00709241,simple,9606,Homo sapiens,GSM768947,,,,,,,no,,,,,GEO,SRA044989,,public,00FD89F2ED8DFB00A77729BBB67C1A81,92EA644D6F8FF24076587533FC16FD43
SRR1633244,2015-07-16 16:20:34,2014-10-28 14:35:05,7208833,1441766600,7208833,200,831,,https://sra-download.ncbi.nlm.nih.gov/traces/sra22/SRR/001594/SRR1633244,SRX745178,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP049340,PRJNA265099,2,265099,SRS732185,SAMN03145537,simple,9606,Homo sapiens,GSM1533217,,,,,,,no,,,,,GEO,SRA196711,,public,4F2FEE2D6370DC73AB43B85723D0CD60,11263A8B78F7BC524BD31CDC2D178753
