Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR2963400,2017-01-19 16:24:32,2015-11-30 12:03:43,257108,51421600,257108,200,31,,https://sra-download.ncbi.nlm.nih.gov/traces/sra36/SRR/002893/SRR2963400,SRX1454075,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066781,PRJNA304408,2,304408,SRS1182494,SAMN04300324,simple,9606,Homo sapiens,GSM1955867,,,,,,,no,,,,,GEO,SRA314130,,public,F2F3C9AD9D4096E9BF6D69FB9631A7B8,D58D0AB6A78D49F726B7F78E44E6B7A4
SRR3355790,2016-07-11 22:13:52,2016-04-11 12:03:42,43619501,4361950100,0,100,2039,,https://sra-download.ncbi.nlm.nih.gov/traces/sra39/SRR/003277/SRR3355790,SRX1689702,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP073097,PRJNA318006,2,318006,SRS1384128,SAMN04632326,simple,9606,Homo sapiens,GSM2113348,,,,,,,no,,,,,GEO,SRA409010,,public,50391219643B18235E2E7D99177022B5,9ED4BF592CDA119559590280A2B1DD6F
SRR5287026,2017-03-03 00:09:10,2017-02-25 22:05:41,16059638,835101176,0,52,401,,https://sra-download.ncbi.nlm.nih.gov/traces/sra46/SRR/005163/SRR5287026,SRX2589916,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100726,PRJNA376804,2,376804,SRS2019494,SAMN06466051,simple,9606,Homo sapiens,GSM2509540,,,,,,,no,,,,,GEO,SRA540392,,public,8FBA5564FB028A9C1F972299360B4BA2,B6D429BB5888CFE10566A907E69F7F66
SRR2019144,2015-05-21 16:55:06,2015-05-13 13:59:45,148554,6765778,0,45,3,,https://sra-download.ncbi.nlm.nih.gov/traces/sra28/SRR/001971/SRR2019144,SRX1025762,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP055569,PRJNA276634,2,276634,SRS934953,SAMN03656691,simple,9606,Homo sapiens,GSM1683364,,,,,,,no,,,,,GEO,SRA244879,,public,242898171587D06F70700A0F4D6EF064,B94FD5FFC1B30C377855A3F2930998C3
SRR2924894,2015-11-20 00:00:00,2015-11-19 03:22:06,25031465,4640568999,21412553,185,1777,GRCh37,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002856/SRR2924894,SRX1438213,R4516,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,100,0,ILLUMINA,Illumina HiSeq 2500,SRP066394,PRJNA302685,,302685,SRS1168882,SAMN04277411,simple,9606,Homo sapiens,R4516,,,,,female,,no,,,,,UNSW,SRA312275,,public,FB3AD6EFD71D5DE31FC9E2241BABD58B,FE5E6DE88A00C70549C57BAAAD5C01B1
SRR1813873,2015-07-15 16:00:17,2015-02-23 16:43:48,35386354,3397089984,35386354,96,2204,,https://sra-download.ncbi.nlm.nih.gov/traces/sra25/SRR/001771/SRR1813873,SRX886257,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP055438,PRJNA276116,2,276116,SRS853179,SAMN03366625,simple,9606,Homo sapiens,GSM1616918,,,,,,,no,,,,,GEO,SRA244070,,public,0A6122A4A2CCC55E3DA152D3DD757A07,FFD9299235E9A99015B48335F5CA145F
SRR1917022,2015-08-02 10:52:08,2015-03-16 20:49:18,4000000,800000000,4000000,200,528,,https://sra-download.ncbi.nlm.nih.gov/traces/sra26/SRR/001872/SRR1917022,SRX957704,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056220,PRJNA278477,2,278477,SRS875024,SAMN03418699,simple,9606,Homo sapiens,GSM1635096,,,,,,,no,,,,,GEO,SRA246887,,public,4F4157B909029EC3132F7D7F87A07A4F,2ED08F0D416F12B076C1173997153184
SRR2963022,2017-01-19 16:24:32,2015-11-30 11:41:25,1940,388000,1940,200,0,,https://sra-download.ncbi.nlm.nih.gov/traces/sra36/SRR/002893/SRR2963022,SRX1453922,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066781,PRJNA304408,2,304408,SRS1182644,SAMN04300293,simple,9606,Homo sapiens,GSM1955714,,,,,,,no,,,,,GEO,SRA314130,,public,979510BCBD1840F00C41B3A1531908E8,3DBE99E95D5059DE4FEECE3C6A7827DC
SRR3028725,2015-12-25 00:00:00,2015-12-17 12:31:52,4914490,332583771,0,67,118,,https://sra-download.ncbi.nlm.nih.gov/traces/sra22/SRR/002957/SRR3028725,SRX1489210,c1_VII_ktn1_may_2015/cell_32876,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP067502,PRJNA305981,,305981,SRS1211359,SAMN04347815,simple,9606,Homo sapiens,c1_VII_ktn1_may_2015/cell_32876,,,,,female,,no,,,,,,SRA320557,,public,850C8BEBAF6991158BD6628EC19B958F,AE0B7555C77B4C5028B9D85D0227984C
SRR5650351,2017-06-07 10:04:38,2017-06-07 09:57:53,749023,43443334,0,58,28,,https://sra-download.ncbi.nlm.nih.gov/traces/sra48/SRR/005517/SRR5650351,SRX2887389,GCGM4_10A_L002,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP108709,PRJNA389267,,389267,SRS2255409,SAMN07193224,simple,9606,Homo sapiens,GCGM4_10A_L002,,,,,not applicable,,no,,,,,,SRA570929,,public,A00CEEDB5CF14012D430323035131040,2AC631AF45D0A1CA7F6233B37C7753AB
