Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1925800,2015-07-15 16:01:17,2015-03-24 16:17:53,2176989,356353317,2176989,163,189,,https://sra-download.ncbi.nlm.nih.gov/traces/sra26/SRR/001880/SRR1925800,SRX965515,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056443,PRJNA279199,2,279199,SRS881093,SAMN03438009,simple,9606,Homo sapiens,GSM1641338,,,,,,,no,,,,,GEO,SRA248335,,public,ACDE2EBCF5DA6C059E536F3C5435D8FA,9C774B8B9ED385410D57862A640087DA
ERR1042097,2016-04-09 12:42:19,2016-04-09 19:17:03,7473879,321376797,0,43,353,,https://sra-download.ncbi.nlm.nih.gov/traces/era14/ERR/ERR1042/ERR1042097,ERX1121579,E6.13.1394,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP012552,PRJEB11202,,317849,ERS888617,SAMEA3581468,simple,9606,Homo sapiens,E-MTAB-3929:E6.13.1394,,,,,,,no,,,,,Sophie Petropolous,ERA510323,,public,01C584C826D08BCD5D0D44A661D4D874,F2F67D461ADA91C43D9366E1926D796F
SRR3128652,2016-07-08 16:13:15,2016-01-27 21:41:06,2591983,259198300,0,100,114,,https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/003055/SRR3128652,SRX1549194,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP068957,PRJNA309972,2,309972,SRS1265340,SAMN04443124,simple,9606,Homo sapiens,GSM2048080,,,,,,,no,,,,,GEO,SRA342032,,public,1610ADAAFAF3B56282F456CA4FA86BD6,16256F489AA399A9F0C2C8A024C76946
SRR5676724,2017-07-25 00:01:18,2017-06-13 13:37:58,45059411,3379455825,0,75,1410,,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005543/SRR5676724,SRX2912196,TRYPF1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109039,PRJNA388219,2,388219,SRS2278482,SAMN07169320,simple,9606,Homo sapiens,TRYPF1,,,,,male,,no,,,,,,SRA573669,,public,2CD361DF0FDD2B416D57B2134F72AD09,39B479AD382DCB717F20DF65803B456A
SRR4428072,2016-10-31 16:01:14,2016-10-17 21:07:09,14800624,1480062400,14800624,100,967,,https://sra-download.ncbi.nlm.nih.gov/traces/sra16/SRR/004324/SRR4428072,SRX2249595,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP091680,PRJNA348767,2,348767,SRS1749569,SAMN05915393,simple,9606,Homo sapiens,GSM2350109,,,,,,,no,,,,,GEO,SRA485458,,public,287D182EAF30DBBC14D489862C58E510,A8F5CFE93B1301F3373D99E881AC8728
SRR1918757,2015-07-10 13:37:28,2015-03-19 04:00:28,50142577,10028515400,50142577,200,4533,,https://sra-download.ncbi.nlm.nih.gov/traces/sra26/SRR/001873/SRR1918757,SRX959077,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056295,PRJNA278767,2,278767,SRS876079,SAMN03431215,simple,9606,Homo sapiens,GSM1636928,,,,,,,no,,,,,GEO,SRA247200,,public,690A8DA8FE2859AB1AE85C12E8D87162,6996CDA31EC446EABE902AE4AEAE5565
SRR1033104,2014-03-24 10:31:04,2013-11-19 17:11:48,2631000,526200000,2631000,200,309,,https://sra-download.ncbi.nlm.nih.gov/traces/sra15/SRR/001008/SRR1033104,SRX379794,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP033135,PRJNA229164,2,229164,SRS504252,SAMN02413050,simple,9606,Homo sapiens,GSM1269154,,,,,,,no,,,,,GEO,SRA111636,,public,5007AC57913DF7701D35B3BE324C904C,35C859275042772142530F6F3EDD8773
SRR2314010,2015-10-27 15:52:12,2015-09-09 09:35:46,26164199,2616419900,26164199,100,1632,,https://sra-download.ncbi.nlm.nih.gov/traces/sra34/SRR/002259/SRR2314010,SRX1211353,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP063496,PRJNA295143,2,295143,SRS1060919,SAMN04041604,simple,9606,Homo sapiens,GSM1872942,,,,,,,no,,,,,GEO,SRA296897,,public,D30F8D9B1462DA884BA1801136A09923,A15CD39A0BE9B75F68F5741A8B65C79F
SRR5277915,2017-02-22 12:05:07,2017-02-22 12:02:28,29335466,528038388,0,18,337,,https://sra-download.ncbi.nlm.nih.gov/traces/sra46/SRR/005154/SRR5277915,SRX2581799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP032279,PRJNA225101,2,225101,SRS1995824,SAMN02385314,simple,9606,Homo sapiens,GSM1252742,,,,,,,no,,,,,GEO,SRA108904,,public,B6F2D03D3987CCF0ADBF221357B0F986,034C2B5D23B3D1FEEEB45E5A38BC031B
SRR2816012,2016-10-20 00:00:00,2015-10-31 21:41:16,9803442,980344200,0,100,426,GRCh37,https://sra-download.ncbi.nlm.nih.gov/traces/sra11/SRR/002750/SRR2816012,SRX1383005,DS1-Human4-S7,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065273,PRJNA299472,,299472,SRS1133862,SAMN04209728,simple,9606,Homo sapiens,DS1_H4_07,,,,,male,,no,,,,,CAS-MPG PICB,SRA306225,,public,5A0EB13302F7A0180D8F68182263DD7D,183A454C16ABBCE7D11A25A98D5BE84D
